customer_id,invoice_id,date,products_list,price_list
121,543251,2020-05-23,A1:A2:A3:A4:A5,102.3:644.16:121.0:232.5:124.9
122,541253,2020-05-23,B1:B2:B3:B4:B5,112.2:931.29:625.0:734.9:511.1
123,545256,2020-05-23,C1:C2:C3:C4:C5,122.8:984.25:223.0:236.1:384.8
124,543553,2020-05-23,D1:D2:D3:D4:D5,132.4:724.26:526.0:837.4:932.2
125,543425,2020-05-23,E1:E2:E3:E4:E5,202.5:934.13:720.0:235.5:624.7
126,543657,2020-05-23,F1:F2:F3:F4:F5,114.5:954.56:327.0:934.5:324.3
127,543243,2020-05-23,G1:G2:G3:G4:G5,169.3:964.21:823.0:238.3:746.6
128,543259,2020-05-23,H1:H2:H3:H4:H5,101.0:844.45:428.0:633.0:924.4
129,543270,2020-05-23,I1:I2:I3:I4:I5,152.2:934.61:929.0:930.8:454.5
130,543258,2020-05-23,J1:J2:J3:J4:J5,172.1:414.96:524.0:131.9:866.0
